No.,Time,Comment,Scramble
1,15.216,B,U D R2 F' B2 D' F2 B' U' B2 D2 B2 D2 L U2 R B2 L D2
2,14.800,B,D2 R' D2 B2 D2 R F2 R D2 L F2 U' L' R' F' U2 R' D L' B'
3,18.455,R,F' U2 D' B2 L D2 L' D' R D2 F D2 B' R2 U2 F2 R2
4,14.717,O,B' R2 B2 D2 R' B2 R' F2 D2 R' D2 L2 D' L' U2 R' F R' B2 D2 F
5,22.817,O,F' L2 D' R2 U2 R2 U B2 U R2 B U L' U2 R2 D2 F R F2
6,12.770,W,F2 R F' R' U' F' B' R B2 U' R' U2 L F2 L2 U2 R' D2 F2 B2
7,18.035,O,L' D U R2 U' B2 L2 B2 L2 D' F2 R B2 R B L' D B' F2
8,12.806,W,U2 R2 D2 B R' L D L2 D L' R2 U2 B2 U2 F2 U F2 L2 D' L2
9,12.353,Y,L2 D2 L' U R B U' F' L B' D2 L2 F2 R' U2 L2 F2 B2
10,17.974,B,F2 D' R2 D F2 D U2 R2 B2 D2 F2 B' R' U F D' R2 F2 R D2 B'
11,18.777,O,B2 D2 F2 R2 D' U' F2 R2 U F2 U' B' L D' B2 U B U F' L2 B2
12,11.525,Y,F2 D L2 R2 D R2 D' R2 F2 D U2 F' U' B2 U2 F L' U R U2 F'
13,13.602,R,L' B' U F2 L2 D L F2 U2 F' U' F2 L2 B2 L2 B2 U' B2
14,18.645,B,F2 U' F2 R' F2 U F' U' D' B2 L F2 R D2 R2 L D2 B2 U2 F'
15,16.085,O,D2 L2 U B2 R2 D L2 B2 U' L2 R' F2 D' U L' B L R B' R2
16,14.367,O                                                                                                                                                   ,B L' F2 D2 L' U2 F2 U2 L2 B2 U2 L2 B U' F2 D' F L' U' B
17,13.971,R,R2 F2 U B2 F2 D' L2 U2 L2 U B L D2 F2 U2 F' D' F U B R
18,14.119,G,U2 R2 F R2 B' U2 R2 U2 L2 U2 F2 D' R' B F' L2 D' L' B' R
19,14.782,B,F B2 U2 B2 R B2 L' D2 U2 L2 D2 R F R D L2 U' L D2 B'
20,11.535,W,R2 D' R2 D F2 D R2 U B2 D2 F' D' F2 U' L U2 B' U L2 R
21,17.515,G,L' F2 R2 B2 U2 F' R2 U2 F' R2 B2 D R' B' L2 B2 L U' B' U'
22,17.534,O,U2 B2 U' L2 R2 U B2 U' L2 U' L' F' U' F2 L2 U2 L' F2
23,10.077,G,U2 B2 R2 D U L2 D' F2 R' D R2 F2 U2 L' B' U2 R U'
24,12.161,G,U F D' R B' D2 B2 R F D' U2 L B2 R F2 L' B2 R D2 B2 D2
25,12.639,W,D2 R' D2 L D2 L2 F2 D2 L R D' R B D2 L F D2 R2 U L'
26,13.495,O,F2 U2 B2 R F2 D2 L2 R2 F2 D L U' B U B F2 D B' R'
27,14.112,B,D B2 U' L2 F' B R' B U' F2 U' L2 F2 R2 D B2 D F2 D2 L
28,14.326,R,R' D2 R F2 U2 F2 D2 L' F2 U' R2 D R' D2 U' F L R'
29,20.471,O,F B D' R F U' R B' L U2 F2 L2 B2 R2 B2 D2 B L2 D2 U
30,18.266,R,F2 R2 U2 B' U2 B U2 F2 L2 D2 U' B' L' U2 B D2 L2 F D B
31,12.695,G,B D2 B2 U' B D R B' D' R L' D2 F2 R2 D2 B2 L B2 U2 B
32,12.803,R,L D2 L2 D F2 B' U R' B D F R2 D2 L2 U2 B2 D2 B L2 D2 B
33,12.584,G,F U2 B R2 D2 F2 L2 F' U2 R B2 U R2 D B' R' F D2 B2
34,10.944,Y,F L' B2 U2 R2 F2 L2 B2 R D2 U2 L' U' F D' L2 B' U B' D2
35,16.887,B,B' D2 F' D2 U2 F' U2 F L2 U2 B2 U L2 F' R' U' B2 D' B' F2 L
36,13.978,Y,R2 F2 U2 L2 F2 U2 L U2 R D2 R2 D B2 U L' F' L' D' F' L2
37,10.910,O,U F' U2 B D2 F D2 F R2 D2 R' D F2 U F U2 B' R B
38,15.605,Y,D2 L2 U2 B' R2 B2 F' U2 L2 F D B L D' U2 F D2 L D' B2
39,16.649,R,U' B2 D L2 F2 U' L2 U2 B2 R F2 L' F' D R2 U L D F2
40,11.658,G,B L2 U2 F' L2 B L2 D2 B2 U2 L' B D' F R F' L B D2 B2
41,11.934,Y,L D U R2 U L2 B2 U' L2 D' R' B' R' F' U R' F2 U2 F'
42,12.355,B,U' R2 B2 U L2 F2 R2 F2 U2 L' B2 D B F L B' R D2 F2 R2
43,19.252,Y,F U L' D F' D' F' B2 L F U2 D2 R2 B D2 B' R2 D2 L'
44,12.379,G,B' D2 B2 L D2 L F2 D2 F2 L' B2 R2 U' B L' R2 B' U' R2 U2 F2
45,20.030,B,D L B' D2 L D B' R U F R2 D2 L2 D F2 L2 U' B2 D2 B2
46,13.082, B            ,D2 R2 B' R2 F2 L2 F' D2 F' R2 B L D B2 R' D' F L R' U2 F
47,12.738,R,F' U R' B D L' F U2 R' D L2 F R2 B' L2 D2 L2 F' D2
48,15.249,O,D' B' U2 L' U D2 R' L2 F' L' F2 R' F2 D2 R B2 D2 R2 U2 D'
49,11.131,R,F D' R B2 U2 D2 F' D2 B U' R' D2 F2 R F2 R B2 U2 L' B2
50,12.313,Y,R D' B2 D R2 U2 R2 B2 F2 D' U2 L2 B R B' L B F2 U' B D2
51,14.257,R,D2 F' L2 U2 D' F R2 D' F2 R U2 R B2 R D2 R' U2 F2 R2 D'
52,14.878,W,L' D2 B' D' B2 D2 F' D' R' U' R2 U' B2 L2 D2 F2 R2 L'
53,13.716,G,F2 U2 F2 L D2 U2 R U2 L' D B F2 U R B L U2 R B2
54,15.262,O,F' U2 L2 F2 D2 B D2 R2 D2 B' U2 R U L U2 L' F R F2 R F'
55,12.677,O,L D R' B2 D2 L' F' R B2 L F2 D B2 D R2 B2 U' F2 U2 F2
56,14.368,G,U' B' R' D L2 F U' L' F' R' U L2 B2 R2 U B2 D2 R2 B2 D F2
57,18.412,G,U2 F2 L2 B2 U2 B2 U' B2 U B2 R2 L D B' L D L2 B2 F U R
58,16.850,B,U' B2 L F2 R2 F2 R B2 R' F2 R U F' R D' F2 D2 R D' F
59,14.459,Y,D' F L F' U' L' F2 R' B' L2 B' U2 D2 R2 F' R2 B R2 L
60,14.107,R,L2 U' R2 U' B2 U F2 D R2 D R2 B' L' R2 B D' B R' F D2 R
61,12.449,G,B D2 U2 F' U2 R2 B2 F' D2 L2 B U' R B' R2 B' L R F' U2
